transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T1597085,2023-01-01T13:45:19.675225,ACC864036,ACC907381,5.58,payment,restaurant,Tokyo,web,False,,-5051.576743093056,-0.24,9,0.91,ACH,57.39.183.13,D7346631
T4236439,2023-01-01T14:04:23.883458,ACC993969,ACC486464,22.4,transfer,travel,Dubai,pos,False,,-4282.369754681944,-0.56,7,0.58,wire_transfer,28.133.119.28,D6760136
T2175922,2023-01-01T14:26:02.974799,ACC210508,ACC669709,146.45,deposit,restaurant,Sydney,web,False,,-901.9919436177778,-0.3,17,0.03,ACH,7.240.105.212,D3638785
T4456094,2023-01-01T14:40:26.367912,ACC817405,ACC787751,21.84,transfer,utilities,Singapore,web,False,,-4794.714273461945,-1.33,18,0.8,card,92.35.137.61,D1054736
T2035234,2023-01-01T14:45:07.294839,ACC784515,ACC721778,9.3,transfer,restaurant,Berlin,mobile,False,,-3163.470239362222,-0.57,16,0.05,UPI,143.127.100.228,D6203052
T2432434,2023-01-01T15:02:49.420533,ACC600407,ACC995656,133.86,withdrawal,online,Toronto,web,False,,-3617.699568761667,0.03,12,0.77,card,167.60.129.92,D5103144
T2967880,2023-01-01T15:24:47.600211,ACC727085,ACC494995,21.56,transfer,utilities,Sydney,web,False,,-4343.7271743475,-0.04,5,0.67,card,231.173.247.143,D2403393
T1784819,2023-01-01T15:25:55.461044,ACC194226,ACC144754,11.27,payment,grocery,Tokyo,atm,False,,,-0.06,19,0.21,ACH,70.75.158.9,D5209830
T1859570,2023-01-01T15:29:25.215831,ACC193768,ACC311972,607.81,withdrawal,restaurant,Berlin,pos,False,,-635.1715172852778,-1.48,20,0.34,UPI,128.145.145.105,D3340115
T2302061,2023-01-01T15:42:55.229439,ACC269511,ACC177597,249.34,payment,online,Tokyo,mobile,False,,-7234.146205165834,0.31,19,0.34,card,255.96.29.132,D3580565
T3439183,2023-01-01T15:45:21.927111,ACC227868,ACC429994,1713.67,deposit,utilities,Singapore,mobile,False,,-6650.706654878612,-0.5,12,0.51,wire_transfer,4.63.119.65,D2449684
T2374944,2023-01-01T15:48:36.602119,ACC485726,ACC520817,20.36,transfer,other,Berlin,web,False,,-4376.317801398611,0.73,16,0.81,card,42.56.183.23,D8658451
T2528503,2023-01-01T16:08:38.676828,ACC753685,ACC665341,512.95,withdrawal,grocery,New York,pos,False,,,-1.66,12,0.85,UPI,38.156.3.125,D8709429
T2198721,2023-01-01T16:12:49.958763,ACC322758,ACC862240,434.36,withdrawal,retail,Berlin,mobile,False,,-3122.106284698333,0.51,4,0.12,UPI,206.86.225.108,D8005925
T3885032,2023-01-01T16:14:34.701173,ACC196210,ACC626082,30.47,payment,grocery,London,web,False,,-6664.3547410925,1.13,19,0.1,UPI,198.115.163.17,D8643009
T880785,2023-01-01T16:15:52.548294,ACC937223,ACC524542,1489.68,deposit,restaurant,Dubai,web,False,,-7238.601823629444,0.99,19,0.17,ACH,178.78.229.87,D7104016
T1591665,2023-01-01T16:20:40.252364,ACC414021,ACC148133,295.9,withdrawal,restaurant,Berlin,atm,False,,-1579.7461786794445,0.31,4,0.22,card,96.196.252.172,D2686106
T4567727,2023-01-01T16:22:05.739287,ACC984532,ACC881104,364.51,withdrawal,grocery,Tokyo,web,False,,-4519.623056975,0.01,17,0.33,ACH,160.133.201.86,D3912303
T2584338,2023-01-01T16:26:24.075259,ACC352884,ACC395098,1348.73,deposit,retail,Toronto,mobile,False,,-7003.638467125278,0.36,4,0.15,UPI,145.133.155.169,D3509835
T2254636,2023-01-01T17:08:05.054778,ACC699941,ACC717202,1822.69,deposit,retail,Dubai,atm,False,,-611.6248237536112,0.81,18,0.12,card,233.10.123.133,D4608874
T566006,2023-01-01T17:20:15.127359,ACC905588,ACC392875,300.08,withdrawal,other,Dubai,pos,False,,-212.40758693361116,-0.04,13,0.73,ACH,63.156.80.220,D7203500
T2899853,2023-01-01T17:27:44.539296,ACC575103,ACC733356,398.18,withdrawal,travel,Sydney,atm,False,,-1689.233296773889,-0.18,17,0.25,UPI,121.54.67.132,D4105644
T2318687,2023-01-01T17:31:53.373054,ACC421710,ACC479997,8.41,transfer,utilities,Singapore,web,False,,-3216.210372592222,2.02,14,0.35,UPI,11.53.84.108,D6947828
T3618270,2023-01-01T17:32:57.577002,ACC286596,ACC288998,850.29,deposit,retail,Dubai,web,False,,-3974.893970303056,-0.0,6,0.36,wire_transfer,241.125.225.61,D2235597
T4542252,2023-01-01T17:44:14.402191,ACC415024,ACC816947,264.1,deposit,utilities,Berlin,pos,False,,-4211.742190698334,0.86,18,0.84,ACH,86.74.126.29,D4456935
T3986636,2023-01-01T18:02:49.154054,ACC350424,ACC395524,0.01,withdrawal,grocery,Singapore,web,False,,-2629.903673865,0.04,20,0.19,wire_transfer,1.111.235.227,D9475567
T728449,2023-01-01T18:04:57.491113,ACC512061,ACC611285,27.24,transfer,online,London,pos,False,,-8510.189797431945,-1.1,6,0.92,card,39.248.17.28,D8075615
T2131396,2023-01-01T18:05:08.232903,ACC526216,ACC120010,0.01,withdrawal,online,Toronto,atm,False,,-7702.837518123055,0.47,7,0.75,UPI,237.200.167.210,D5027169
T4543801,2023-01-01T18:22:17.615545,ACC488403,ACC965133,45.21,transfer,restaurant,Tokyo,pos,False,,-5125.035818755,-0.69,3,0.12,UPI,186.148.242.78,D3275508
T3441240,2023-01-01T18:24:02.890392,ACC416009,ACC524360,19.59,transfer,other,Dubai,atm,True,card_not_present,-5251.669128189722,0.72,10,0.98,card,6.151.125.212,D6826759
T4748922,2023-01-01T18:39:08.239147,ACC746456,ACC741365,41.57,transfer,grocery,Dubai,pos,False,,-7381.136537646388,0.16,18,0.44,card,173.80.65.99,D6247004
T2445554,2023-01-01T18:40:45.414579,ACC869783,ACC912340,1103.13,deposit,restaurant,Dubai,mobile,False,,-5387.0640184925,0.91,4,0.17,ACH,38.138.233.199,D1837457
T4002298,2023-01-01T18:41:18.773244,ACC923993,ACC352308,62.79,payment,online,Berlin,web,False,,-538.0408124802777,-0.57,1,0.45,UPI,90.100.26.86,D6700848
T1528159,2023-01-01T18:43:31.728771,ACC802416,ACC802424,321.45,withdrawal,entertainment,New York,mobile,False,,-3180.882561388333,0.84,2,0.55,wire_transfer,204.101.151.77,D4256307
T2235975,2023-01-01T19:08:14.804607,ACC251317,ACC877042,1044.45,deposit,travel,London,pos,False,,-3614.631489283333,2.47,3,0.01,wire_transfer,77.138.36.193,D3087600
T3654275,2023-01-01T19:09:16.944134,ACC853975,ACC144892,397.52,withdrawal,travel,Tokyo,pos,False,,-193.22419688305555,0.94,8,0.62,ACH,72.169.216.179,D3802230
T960390,2023-01-01T19:13:02.355022,ACC525187,ACC576035,1486.68,deposit,entertainment,Toronto,mobile,False,,-2269.7116283252776,-0.55,18,0.61,card,49.223.253.188,D6177752
T3178706,2023-01-01T19:20:29.875432,ACC712408,ACC335703,35.01,transfer,retail,Toronto,web,False,,-804.4031095538888,-0.68,5,0.03,wire_transfer,221.229.27.150,D3322275
T2066228,2023-01-01T19:23:47.335002,ACC540756,ACC237859,1558.63,deposit,other,London,mobile,False,,-1675.0319584419444,0.95,6,0.17,wire_transfer,134.91.134.32,D1362757
T2660634,2023-01-01T19:25:56.250018,ACC858858,ACC184515,933.6,deposit,other,Toronto,mobile,False,,-3508.2565588847224,0.01,12,0.81,ACH,228.180.27.148,D5159392
T1072017,2023-01-01T19:30:28.572480,ACC333965,ACC636161,26.51,payment,other,Berlin,atm,False,,-3990.125603605555,0.07,20,0.77,wire_transfer,2.127.160.247,D4093200
T4839493,2023-01-01T19:53:53.232664,ACC756740,ACC767282,483.86,payment,grocery,New York,atm,False,,-3729.367559881111,0.42,19,0.22,ACH,155.135.13.23,D2934928
T2491878,2023-01-01T19:54:56.859706,ACC789486,ACC805333,23.03,transfer,entertainment,Singapore,mobile,True,card_not_present,-310.91795535722224,-0.17,5,0.78,UPI,230.144.21.27,D3353939
T1115703,2023-01-01T19:55:49.038880,ACC804051,ACC623935,166.72,payment,utilities,Tokyo,mobile,False,,-5712.230677666666,0.32,15,0.58,UPI,199.214.15.32,D1560151
T394315,2023-01-01T20:05:35.402903,ACC495082,ACC503960,39.79,payment,retail,New York,web,False,,,-0.52,1,0.79,card,175.132.197.25,D6776144
T4452396,2023-01-01T20:10:11.772900,ACC407808,ACC479481,63.86,payment,restaurant,New York,mobile,False,,-7378.428952234444,-0.49,3,0.19,card,180.165.229.199,D9291167
T4445650,2023-01-01T20:14:37.829637,ACC569726,ACC135658,33.49,transfer,travel,Tokyo,atm,False,,-7391.889947936945,0.94,19,0.76,card,53.96.214.140,D8316513
T4340482,2023-01-01T20:23:03.448998,ACC830325,ACC999648,71.46,payment,grocery,New York,web,False,,-3126.4706220577777,-1.17,15,0.8,ACH,109.66.183.47,D3761818
T4064273,2023-01-01T20:26:34.197843,ACC564711,ACC601289,216.54,deposit,restaurant,New York,mobile,False,,-7838.213371210278,0.75,12,0.9,ACH,87.117.60.70,D9652686
T4346203,2023-01-01T20:40:10.646435,ACC294881,ACC161030,177.73,payment,entertainment,London,pos,False,,-8011.833773195278,0.17,3,0.81,UPI,37.68.119.19,D4965914
T4401687,2023-01-01T20:58:28.732702,ACC245832,ACC150577,1494.42,deposit,restaurant,Singapore,web,False,,-2288.251458221389,-0.62,14,0.8,ACH,39.6.193.113,D9322173
T5086897,2023-01-01T21:04:18.894875,ACC853651,ACC990389,225.39,withdrawal,online,Toronto,pos,False,,-4235.585046296389,0.83,12,0.44,card,41.235.242.104,D1407215
T873186,2023-01-01T21:07:34.931109,ACC624425,ACC354106,20.19,transfer,entertainment,New York,atm,False,,-5763.740275723611,1.11,11,0.93,ACH,109.102.223.11,D1340681
T3663956,2023-01-01T21:13:00.564077,ACC473344,ACC212918,255.08,withdrawal,entertainment,Dubai,mobile,False,,-3933.729143495,0.27,16,0.52,card,50.217.137.119,D7123454
T4139439,2023-01-01T21:13:50.542987,ACC934921,ACC194928,14.12,withdrawal,utilities,Singapore,mobile,False,,-1780.8033365738888,0.58,5,0.27,UPI,141.9.236.55,D2975159
T4041030,2023-01-01T21:15:08.376883,ACC515253,ACC147305,4.17,transfer,other,Toronto,atm,False,,-7631.0569918755555,0.81,6,0.51,wire_transfer,179.51.211.248,D8412996
T3540745,2023-01-01T21:19:07.365332,ACC663943,ACC200293,926.62,deposit,retail,Tokyo,pos,False,,-2212.829966252222,-0.46,13,0.45,UPI,34.240.127.174,D5580579
T2262921,2023-01-01T21:29:30.041045,ACC838956,ACC364694,2030.03,deposit,travel,Tokyo,web,False,,-8205.348930508611,-0.65,20,0.06,ACH,27.7.156.44,D9521742
T3773695,2023-01-01T21:32:46.263006,ACC548602,ACC933345,0.01,withdrawal,retail,New York,mobile,False,,-329.6386241,-1.64,18,0.95,wire_transfer,228.65.24.0,D2547305
T1565883,2023-01-01T21:46:15.126627,ACC955208,ACC469201,24.25,transfer,restaurant,Dubai,web,False,,-4520.700641213889,-1.07,16,0.99,UPI,4.255.75.108,D3153567
T1702645,2023-01-01T22:01:59.240216,ACC691532,ACC125336,471.39,withdrawal,other,London,mobile,False,,-4468.233215642223,0.57,2,0.4,card,202.132.247.240,D9536567
T2761134,2023-01-01T22:05:19.964225,ACC930839,ACC663178,46.44,payment,online,London,web,False,,-14.313370215277777,0.44,13,0.76,ACH,238.81.200.132,D6040007
T832830,2023-01-01T22:07:42.702584,ACC410287,ACC242719,1047.03,deposit,travel,London,web,False,,-6935.642616706667,-1.0,14,0.21,wire_transfer,74.241.43.137,D4029408
T2529684,2023-01-01T22:11:19.013066,ACC269484,ACC809381,108.13,withdrawal,other,Sydney,web,False,,-6854.475482540278,0.2,4,0.1,UPI,117.119.121.113,D7115859
T1527209,2023-01-01T22:14:37.426492,ACC103126,ACC302423,3.17,payment,other,Tokyo,pos,False,,-4434.738821564167,0.32,4,0.24,wire_transfer,215.210.94.9,D5930660
T3601390,2023-01-01T22:18:24.727840,ACC452394,ACC476063,275.46,payment,grocery,London,pos,False,,-5341.851977255,-0.93,9,0.58,UPI,180.237.158.130,D2567752
T4225660,2023-01-01T22:29:31.300798,ACC566833,ACC312929,29.26,transfer,travel,New York,web,False,,-7460.425355888055,0.87,16,0.32,wire_transfer,95.138.48.222,D3893207
T1892072,2023-01-01T22:37:52.597149,ACC151874,ACC376542,0.01,withdrawal,retail,New York,atm,False,,-4151.234313380833,0.35,7,0.14,wire_transfer,26.156.7.55,D4338004
T2456023,2023-01-01T22:40:47.711224,ACC960814,ACC215762,122.91,withdrawal,other,Singapore,atm,False,,-877.6692705594444,-1.42,18,0.32,ACH,248.204.193.18,D1850599
T489095,2023-01-01T22:45:22.061063,ACC153780,ACC886337,525.21,deposit,other,New York,atm,False,,,-0.4,12,0.04,ACH,247.55.112.38,D7938839
T3985924,2023-01-01T22:46:56.600830,ACC388842,ACC646683,386.64,deposit,restaurant,Dubai,atm,False,,-523.2551638375,1.64,18,0.22,card,210.65.94.65,D7483041
T4008266,2023-01-01T22:48:32.085336,ACC130369,ACC544662,323.95,payment,online,London,atm,False,,-815.3383418525,-0.22,18,0.66,UPI,136.1.66.3,D9633762
T2187353,2023-01-01T22:50:28.487874,ACC124574,ACC170425,20.57,transfer,online,New York,web,False,,-7947.198399596389,0.49,10,0.04,ACH,228.164.78.15,D2750753
T2322115,2023-01-01T22:55:32.256909,ACC609087,ACC552406,525.16,withdrawal,grocery,Tokyo,atm,True,card_not_present,-6761.321653331945,-1.49,10,0.24,wire_transfer,247.142.44.119,D6993845
T1703313,2023-01-01T22:56:26.966255,ACC210216,ACC891376,17.19,payment,travel,Berlin,mobile,False,,,1.87,4,0.1,card,18.45.64.188,D8494914
T3543494,2023-01-01T22:56:40.754898,ACC296597,ACC295189,6.58,transfer,other,Sydney,atm,False,,-7438.541843698055,-0.31,11,0.1,wire_transfer,81.139.179.211,D9354180
T4329641,2023-01-01T23:08:46.598082,ACC143168,ACC510294,58.59,withdrawal,entertainment,Tokyo,atm,False,,-1927.4726987222225,-0.88,18,0.07,UPI,5.114.130.184,D9618821
T1674919,2023-01-01T23:10:19.054877,ACC693826,ACC960729,23.46,transfer,grocery,Toronto,mobile,False,,,-0.97,14,0.55,card,103.149.165.207,D6802784
T2585533,2023-01-01T23:25:27.623842,ACC143819,ACC949031,1188.46,deposit,entertainment,London,pos,False,,,0.03,19,0.98,wire_transfer,101.106.233.232,D8646069
T936871,2023-01-01T23:27:49.209796,ACC636781,ACC783671,286.35,withdrawal,online,Singapore,web,False,,,-1.34,4,0.79,wire_transfer,77.213.81.79,D6698115
T5040503,2023-01-01T23:34:14.818468,ACC623066,ACC728175,40.34,payment,retail,Toronto,mobile,False,,-8497.699897202223,-1.0,6,0.48,UPI,210.54.130.234,D1737753
T312248,2023-01-01T23:36:24.853943,ACC922949,ACC187423,10.29,transfer,utilities,Toronto,atm,False,,-5929.791290344722,1.39,17,0.26,UPI,84.49.143.49,D3295413
T807270,2023-01-01T23:36:55.344344,ACC535081,ACC554285,939.76,deposit,other,London,pos,False,,,0.29,6,0.94,ACH,20.231.20.102,D6561323
T2771481,2023-01-01T23:46:43.305020,ACC450542,ACC480835,12.13,transfer,entertainment,New York,web,False,,-5029.0782445233335,-0.98,6,0.01,ACH,140.116.139.34,D5417778
T224842,2023-01-01T23:47:16.630056,ACC114586,ACC582600,11.5,transfer,travel,Tokyo,atm,False,,,-0.21,10,0.22,card,221.255.37.177,D6123658
T2191613,2023-01-01T23:49:11.132076,ACC667850,ACC479872,8.32,transfer,grocery,Toronto,atm,False,,-4786.611370461112,-1.04,1,0.31,wire_transfer,103.185.41.221,D4991428
T3276916,2023-01-01T23:54:47.602036,ACC590635,ACC566133,418.54,withdrawal,travel,Dubai,mobile,False,,-7636.858898290555,-2.06,19,0.55,wire_transfer,252.117.144.106,D6949518
T2156440,2023-01-01T23:55:24.271385,ACC378093,ACC435297,21.56,payment,travel,Berlin,pos,False,,-2272.6992644408333,-1.2,14,0.83,ACH,130.104.68.254,D4241565
T1278442,2023-01-02T00:00:26.253437,ACC664015,ACC759936,274.38,withdrawal,utilities,New York,pos,False,,-6940.857912512221,1.58,11,0.98,card,215.151.53.248,D8453586
T5038511,2023-01-02T00:02:21.771424,ACC443688,ACC388205,22.51,transfer,online,New York,atm,False,,-5284.808666471389,0.8,17,0.85,UPI,156.136.91.149,D3828709
T3603957,2023-01-02T00:04:14.096639,ACC991524,ACC619718,19.79,transfer,travel,Singapore,mobile,False,,-808.4226724241666,-0.1,16,0.31,ACH,148.91.23.224,D2747160
T4649243,2023-01-02T00:08:55.089901,ACC712720,ACC889544,394.7,withdrawal,entertainment,Berlin,atm,False,,-6126.833089537778,0.73,6,0.55,ACH,141.173.168.63,D6334193
T1011380,2023-01-02T00:11:31.785357,ACC575591,ACC369604,17.37,payment,restaurant,London,mobile,False,,,-0.3,17,0.8,card,166.231.250.175,D5798357
T1861758,2023-01-02T00:17:54.694769,ACC753807,ACC907726,109.01,withdrawal,restaurant,Sydney,mobile,False,,-567.1274984008334,-0.18,4,0.11,card,33.210.9.213,D5651197
T5091434,2023-01-02T00:24:27.947330,ACC717568,ACC704445,7.92,transfer,retail,Toronto,web,False,,-7766.725461711666,1.98,12,0.01,card,215.42.214.16,D3018201
T1060475,2023-01-02T00:28:49.802803,ACC883371,ACC647930,1170.16,deposit,travel,Dubai,web,False,,,0.94,9,0.92,card,227.201.230.100,D5465932
T597421,2023-01-02T00:41:05.453496,ACC701884,ACC317214,30.4,transfer,other,Tokyo,web,False,,-259.0109729436111,-1.56,7,0.34,ACH,139.126.193.230,D4373056
T3899057,2023-01-02T00:50:10.112176,ACC392494,ACC642524,121.18,withdrawal,restaurant,London,mobile,False,,-9.189057205,-1.9,6,0.6,UPI,221.123.11.99,D8005347
T2695448,2023-01-02T00:51:32.446045,ACC922173,ACC969811,148.96,payment,travel,Tokyo,mobile,False,,-4076.090075283611,-0.7,11,0.15,ACH,178.191.34.49,D2064523
T790973,2023-01-02T00:54:17.679838,ACC913932,ACC182623,220.72,withdrawal,utilities,Tokyo,mobile,False,,-7867.531133768056,0.15,9,0.02,ACH,209.4.63.15,D9082405
T3932330,2023-01-02T00:54:53.479321,ACC803098,ACC395406,810.14,deposit,restaurant,Singapore,pos,False,,-7909.165949842778,1.82,5,0.24,ACH,119.186.197.2,D3487548
T621480,2023-01-02T01:01:28.425698,ACC992045,ACC724059,15.35,transfer,utilities,Dubai,web,False,,-3125.814227245,-1.2,5,0.59,wire_transfer,138.239.248.88,D5314053
T4005607,2023-01-02T01:04:29.985278,ACC607421,ACC938638,1036.14,deposit,utilities,Dubai,web,False,,-1001.5694654044444,1.03,17,0.19,UPI,123.100.17.11,D4435443
T1394836,2023-01-02T01:04:43.040028,ACC388090,ACC928309,53.2,payment,retail,London,atm,False,,-687.1830164838889,-2.01,6,0.32,UPI,229.14.13.67,D4684224
